Frequency (GHz)	DB(|S(1,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(2,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(3,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(4,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(5,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(6,1)|) : 6PORT ORIGINAL CRLH N8
1.25	-5.37476	-6.13645	-12.2188	-29.1532	-10.1596	-5.10192
1.26	-4.42209	-6.6902	-12.9936	-28.2996	-10.5392	-5.45937
1.27	-3.51678	-7.43562	-13.9902	-27.4731	-11.0226	-5.95434
1.28	-2.68632	-8.43255	-15.2914	-26.7014	-11.6411	-6.62401
1.29	-1.95068	-9.77082	-17.0302	-26.0138	-12.4367	-7.51931
1.3	-1.32439	-11.6001	-19.4508	-25.4387	-13.4682	-8.71421
1.31	-0.818065	-14.2102	-23.1125	-25.0002	-14.8224	-10.3259
1.32	-0.439256	-18.3192	-29.9583	-24.7159	-16.6398	-12.5644
1.33	-0.192894	-26.9391	-40.6316	-24.5961	-19.1806	-15.886
1.34	-0.0814462	-29.0804	-26.5962	-24.6435	-23.0464	-21.6992
1.35	-0.104911	-19.0366	-21.4814	-24.8536	-30.3028	-41.5129
1.36	-0.26077	-14.6107	-18.4158	-25.2159	-35.7067	-22.2115
1.37	-0.544	-11.8502	-16.2955	-25.7151	-25.4454	-16.3042
1.38	-0.94721	-9.92401	-14.7309	-26.3322	-20.841	-13.0119
1.39	-1.46089	-8.51077	-13.5362	-27.0453	-18.0261	-10.8239
1.4	-2.07368	-7.44871	-12.6058	-27.8307	-16.0827	-9.26125
1.41	-2.77256	-6.64255	-11.8727	-28.6641	-14.6596	-8.10541
1.42	-3.54286	-6.02998	-11.2904	-29.5216	-13.5818	-7.23548
1.43	-4.36789	-5.5672	-10.8253	-30.381	-12.7475	-6.57598
1.44	-5.22832	-5.22193	-10.4519	-31.223	-12.0913	-6.07587
1.45	-6.10139	-4.96955	-10.1503	-32.0323	-11.568	-5.69868
1.46	-6.96026	-4.79092	-9.90475	-32.7984	-11.1452	-5.41738
1.47	-7.77418	-4.67092	-9.70274	-33.5156	-10.7987	-5.21146
1.48	-8.51035	-4.5975	-9.53415	-34.1828	-10.5102	-5.06506
1.49	-9.13809	-4.56102	-9.39081	-34.8025	-10.2656	-4.96579
1.5	-9.63466	-4.55369	-9.26608	-35.3801	-10.054	-4.90386
1.51	-9.99077	-4.56922	-9.15459	-35.9224	-9.86684	-4.8715
1.52	-10.2127	-4.6025	-9.05197	-36.4368	-9.69728	-4.86249
1.53	-10.3199	-4.64939	-8.95468	-36.9308	-9.54005	-4.87186
1.54	-10.3392	-4.70651	-8.85989	-37.4117	-9.39096	-4.89561
1.55	-10.2991	-4.77112	-8.76531	-37.8863	-9.24675	-4.93048
1.56	-10.2251	-4.84098	-8.66915	-38.3607	-9.10486	-4.97386
1.57	-10.1382	-4.91425	-8.57003	-38.8411	-8.96335	-5.02361
1.58	-10.0544	-4.98946	-8.46693	-39.3332	-8.82074	-5.07799
1.59	-9.98567	-5.0654	-8.35912	-39.8427	-8.67599	-5.13557
1.6	-9.94094	-5.1411	-8.24616	-40.3758	-8.52843	-5.19516
1.61	-9.92684	-5.21577	-8.12786	-40.9387	-8.37766	-5.2558
1.62	-9.94869	-5.28882	-8.00429	-41.5387	-8.22361	-5.31666
1.63	-10.0111	-5.35974	-7.8757	-42.1836	-8.06645	-5.37704
1.64	-10.1185	-5.42817	-7.74259	-42.8827	-7.90658	-5.43634
1.65	-10.2756	-5.49384	-7.60567	-43.6466	-7.74465	-5.49403
