Frequency (GHz)	SDeltaP(6PORT ORIGINAL CRLH N8,2,1,5,1) (Deg) : 6PORT ORIGINAL CRLH N8	SDeltaP(6PORT ORIGINAL CRLH N8,3,1,5,1) (Deg) : 6PORT ORIGINAL CRLH N8	SDeltaP(6PORT ORIGINAL CRLH N8,5,1,5,1) (Deg) : 6PORT ORIGINAL CRLH N8	SDeltaP(6PORT ORIGINAL CRLH N8,6,1,5,1) (Deg) : 6PORT ORIGINAL CRLH N8
2.09	1411.71	897.231	0	516.685
2.1	1412.86	897.212	0	517.877
2.11	1413.99	897.219	0	519.04
2.12	1415.11	897.261	0	520.178
2.13	1416.23	897.343	0	521.296
2.14	1417.36	897.475	0	522.401
2.15	1418.5	897.668	0	523.498
2.16	1419.68	897.932	0	524.595
2.17	1420.9	898.285	0	525.699
2.18	1422.18	898.743	0	526.821
2.19	1423.53	899.328	0	527.971
2.2	1425	900.067	0	529.164
2.21	1426.6	900.994	0	530.418
2.22	1428.37	902.151	0	531.757
2.23	1430.38	903.596	0	533.217
2.24	1432.7	905.409	0	534.846
2.25	1435.45	907.704	0	536.723
2.26	1438.8	910.662	0	538.973
2.27	1443.07	914.581	0	541.822
2.28	1448.8	920.006	0	545.695
2.29	1457.11	928.029	0	551.486
2.3	1470.45	941.068	0	561.227
2.31	1493.97	964.239	0	579.177
2.32	1530.96	1000.76	0	606.156
2.33	1565.31	1034.38	0	617.09
2.34	1586.9	1054.78	0	579.803
2.35	1601.52	1067.39	0	548.643
2.36	1614.07	1076.46	0	541.05
2.37	1627.73	1083.91	0	539.539
2.38	1645.77	1090.65	0	539.776
2.39	1671.64	1097.22	0	540.636
2.4	1702.99	1104	0	541.751
2.41	1729.11	1111.39	0	542.982
2.42	1746.39	1119.86	0	544.265
2.43	1757.75	1130.06	0	545.571
2.44	1765.74	1142.82	0	546.884
2.45	1771.78	1158.7	0	548.192
2.46	1776.57	1177.03	0	549.488
2.47	1780.53	1195.26	0	550.768
2.48	1783.88	1210.64	0	552.025
2.49	1786.76	1222.29	0	553.258
2.5	1789.26	1230.7	0	554.464
2.51	1791.45	1236.7	0	555.643
2.52	1793.37	1241.01	0	556.797
2.53	1795.06	1244.1	0	557.929
2.54	1796.56	1246.32	0	559.042
2.55	1797.89	1247.91	0	560.142
2.56	1799.08	1249.03	0	561.235
2.57	1800.16	1249.8	0	562.326
2.58	1801.15	1250.31	0	563.423
2.59	1802.06	1250.63	0	564.53
2.6	1802.91	1250.81	0	565.654
2.61	1803.71	1250.88	0	566.799
2.62	1804.48	1250.87	0	567.971
2.63	1805.23	1250.8	0	569.173
2.64	1805.97	1250.69	0	570.41
2.65	1806.69	1250.56	0	571.684
2.66	1807.41	1250.4	0	572.999
2.67	1808.14	1250.23	0	574.358
2.68	1808.87	1250.05	0	575.762
2.69	1809.61	1249.86	0	577.213
2.7	1810.36	1249.68	0	578.715
2.71	1811.13	1249.49	0	580.267
2.72	1811.92	1249.3	0	581.873
2.73	1812.72	1249.11	0	583.531
2.74	1813.55	1248.93	0	585.244
2.75	1814.41	1248.74	0	587.012
2.76	1815.29	1248.55	0	588.834
2.77	1816.2	1248.37	0	590.711
2.78	1817.15	1248.19	0	592.641
2.79	1818.13	1248	0	594.624
2.8	1819.16	1247.82	0	596.658
2.81	1820.22	1247.63	0	598.74
